ID,USER_ID,ORDER_DATE,STATUS,_etl_loaded_at
84,70,3/26/2018,placed,2026-02-14T05:16:03.754270
86,68,3/26/2018,placed,2026-02-14T05:16:03.754270
87,46,3/27/2018,placed,2026-02-14T05:16:03.754270
89,21,3/28/2018,placed,2026-02-14T05:16:03.754270
91,47,3/31/2018,placed,2026-02-14T05:16:03.754270
71,42,3/12/2018,shipped,2026-02-14T05:16:03.754270
72,30,3/14/2018,shipped,2026-02-14T05:16:03.754270
74,9,3/17/2018,shipped,2026-02-14T05:16:03.754270
77,35,3/21/2018,shipped,2026-02-14T05:16:03.754270
78,90,3/23/2018,shipped,2026-02-14T05:16:03.754270
79,52,3/23/2018,shipped,2026-02-14T05:16:03.754270
80,11,3/23/2018,shipped,2026-02-14T05:16:03.754270
81,76,3/23/2018,shipped,2026-02-14T05:16:03.754270
82,46,3/24/2018,shipped,2026-02-14T05:16:03.754270
83,54,3/24/2018,shipped,2026-02-14T05:16:03.754270
85,47,3/26/2018,shipped,2026-02-14T05:16:03.754270
88,91,3/27/2018,shipped,2026-02-14T05:16:03.754270
90,66,3/30/2018,shipped,2026-02-14T05:16:03.754270
57,93,3/1/2018,completed,2026-02-14T05:16:03.754270
58,22,3/1/2018,completed,2026-02-14T05:16:03.754270
59,30,3/2/2018,completed,2026-02-14T05:16:03.754270
60,12,3/3/2018,completed,2026-02-14T05:16:03.754270
61,63,3/3/2018,completed,2026-02-14T05:16:03.754270
62,57,3/5/2018,completed,2026-02-14T05:16:03.754270
63,70,3/6/2018,completed,2026-02-14T05:16:03.754270
64,13,3/7/2018,completed,2026-02-14T05:16:03.754270
65,26,3/8/2018,completed,2026-02-14T05:16:03.754270
66,36,3/10/2018,completed,2026-02-14T05:16:03.754270
67,79,3/11/2018,completed,2026-02-14T05:16:03.754270
68,53,3/11/2018,completed,2026-02-14T05:16:03.754270
69,3,3/11/2018,completed,2026-02-14T05:16:03.754270
70,8,3/12/2018,completed,2026-02-14T05:16:03.754270
73,19,3/16/2018,completed,2026-02-14T05:16:03.754270
75,69,3/18/2018,completed,2026-02-14T05:16:03.754270
76,25,3/20/2018,completed,2026-02-14T05:16:03.754270
