ID,USER_ID,ORDER_DATE,STATUS,_etl_loaded_at
30,69,2/2/2018,completed,2026-02-14T05:16:03.754270
31,16,2/2/2018,completed,2026-02-14T05:16:03.754270
32,28,2/4/2018,completed,2026-02-14T05:16:03.754270
33,42,2/4/2018,completed,2026-02-14T05:16:03.754270
34,38,2/6/2018,completed,2026-02-14T05:16:03.754270
35,80,2/8/2018,completed,2026-02-14T05:16:03.754270
36,85,2/10/2018,completed,2026-02-14T05:16:03.754270
37,1,2/10/2018,completed,2026-02-14T05:16:03.754270
38,51,2/10/2018,completed,2026-02-14T05:16:03.754270
39,26,2/11/2018,completed,2026-02-14T05:16:03.754270
40,33,2/13/2018,completed,2026-02-14T05:16:03.754270
41,99,2/14/2018,completed,2026-02-14T05:16:03.754270
42,92,2/16/2018,completed,2026-02-14T05:16:03.754270
43,31,2/17/2018,completed,2026-02-14T05:16:03.754270
44,66,2/17/2018,completed,2026-02-14T05:16:03.754270
45,22,2/17/2018,completed,2026-02-14T05:16:03.754270
46,6,2/19/2018,completed,2026-02-14T05:16:03.754270
47,50,2/20/2018,completed,2026-02-14T05:16:03.754270
48,27,2/21/2018,completed,2026-02-14T05:16:03.754270
49,35,2/21/2018,completed,2026-02-14T05:16:03.754270
50,51,2/23/2018,completed,2026-02-14T05:16:03.754270
51,71,2/24/2018,completed,2026-02-14T05:16:03.754270
53,34,2/26/2018,completed,2026-02-14T05:16:03.754270
54,54,2/26/2018,completed,2026-02-14T05:16:03.754270
55,18,2/27/2018,completed,2026-02-14T05:16:03.754270
56,79,2/28/2018,completed,2026-02-14T05:16:03.754270
52,54,2/25/2018,return_pending,2026-02-14T05:16:03.754270
